,Unnamed: 0,sub,trial_num,trial_num_within_goal,current_state,decision,got_to_goal,got_to_goal_last,goal_switch,control_regressor,RT,eligible_decisions_accuracy,retrieved_cached,planning_depth,delayed_planning,choices,worry,optimally_delayed,optimally_control_choice,optimally_delayed_last,choice_numeric,choices_numeric,choice_numeric_last,interaction_won_and_metachoice,got_to_goal_retrieved_cached,MB_decision,optimal_metacontrol_choice,over_planning,over_control,optimal_metacontrol_choice_last,points_from_choice,points_from_goal,trial_points,total_points,correct_control_action,space_hit_points,goal_points,space_hit_points_total,total_score,metacontrol_accuracy
11,11,sub-005.csv,-0.4745762711864407,12,start,1,1,1,1,1,0.6380572142419852,1,1,3,1,right,34,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
12,12,sub-005.csv,-0.3728813559322034,13,start,1,1,1,1,1,0.4335989473519356,1,1,3,1,right,34,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
13,13,sub-005.csv,-0.3559322033898305,14,start,1,1,1,0,1,0.2126890934103509,1,1,3,1,right,34,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
14,14,sub-005.csv,-0.3389830508474576,15,start,1,1,1,0,1,0.2908021997880245,1,1,3,1,right,34,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
15,15,sub-005.csv,-0.288135593220339,16,start,1,1,1,1,1,0.2004888607494035,1,1,3,1,right,34,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
16,16,sub-005.csv,-0.1525423728813559,17,start,1,1,1,1,1,0.4358003079042373,1,1,3,1,right,34,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
17,17,sub-005.csv,-0.1186440677966101,18,start,1,1,1,1,1,0.396558898637168,1,1,3,1,right,34,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
18,18,sub-005.csv,-0.0677966101694915,19,start,1,1,1,1,1,0.846211556286782,1,1,3,1,right,34,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
19,19,sub-005.csv,-0.0508474576271186,20,start,1,1,1,0,1,1.2714164764229572,1,1,3,1,right,34,1,1,1,0,1,0.0,0,Won_Cached,1,1,0,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
20,20,sub-005.csv,-1.0,1,images/toothbrush.png,2,1,1,1,1,2.0990480713187543,1,0,3,0,left,34,1,1,1,0,0,0.0,0,Lost_Novel,0,1,1,0,0.0,0,400,400,63900,1.0,0,4,0,4,1
21,21,sub-005.csv,-0.9661016949152542,2,images/toothbrush.png,2,1,1,1,1,1.2908566731867497,1,1,3,0,left,34,1,1,1,0,0,0.0,0,Won_Cached,0,1,1,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
22,22,sub-005.csv,-0.8813559322033898,3,images/baby.png,2,0,1,1,1,-0.519530064396137,0,0,3,0,right,34,1,1,1,0,1,0.0,0,Won_Novel,-10,1,1,0,1.0,0,0,0,63900,0.0,0,0,0,0,0
23,23,sub-005.csv,-0.864406779661017,4,images/toothbrush.png,2,0,0,0,1,0.2368097420780244,1,0,3,0,right,34,1,1,1,0,1,0.0,0,Won_Novel,0,1,1,0,1.0,0,0,0,63900,0.3333333333333333,0,0,0,0,1
24,24,sub-005.csv,-0.8305084745762712,5,images/toothbrush.png,2,1,0,1,1,-0.8782726646866342,1,0,3,0,left,34,1,1,1,0,0,0.0,0,Lost_Novel,0,1,1,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
25,25,sub-005.csv,-0.7966101694915254,6,images/toothbrush.png,2,1,1,1,1,1.586517229049532,1,1,3,0,left,34,1,1,1,0,0,0.0,0,Won_Cached,0,1,1,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
26,26,sub-005.csv,-0.7796610169491526,7,images/toothbrush.png,2,1,1,0,1,0.2817143006719894,1,1,3,0,left,34,1,1,1,0,0,0.0,0,Won_Cached,0,1,1,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
27,27,sub-005.csv,-0.711864406779661,8,images/toothbrush.png,2,1,1,1,1,-0.0945304838462332,1,1,3,0,left,34,1,1,1,0,0,0.0,0,Won_Cached,0,1,1,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
28,28,sub-005.csv,-0.6949152542372882,9,images/toothbrush.png,2,1,1,0,1,-1.1168780974750023,1,1,3,0,left,34,1,1,1,0,0,0.0,0,Won_Cached,0,1,1,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
29,29,sub-005.csv,-0.559322033898305,10,images/toothbrush.png,2,0,1,1,1,-1.1177951080848836,1,0,3,0,right,34,1,1,1,0,1,0.0,0,Won_Novel,0,1,1,0,1.0,0,0,0,63900,0.3333333333333333,0,0,0,0,1
30,30,sub-005.csv,-0.5254237288135594,11,images/toothbrush.png,2,1,0,1,1,-0.7597144248320584,1,0,3,0,left,34,1,1,1,0,0,0.0,0,Lost_Novel,0,1,1,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
31,31,sub-005.csv,-0.4745762711864407,12,images/toothbrush.png,2,1,1,1,1,-1.1966662291434975,1,1,3,0,left,34,1,1,1,0,0,0.0,0,Won_Cached,0,1,1,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
32,32,sub-005.csv,-0.3728813559322034,13,images/toothbrush.png,2,1,1,1,1,-0.8096809968158968,1,1,3,0,left,34,1,1,1,0,0,0.0,0,Won_Cached,0,1,1,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
33,33,sub-005.csv,-0.3559322033898305,14,images/toothbrush.png,2,1,1,0,1,-1.179930809845698,1,1,3,0,left,34,1,1,1,0,0,0.0,0,Won_Cached,0,1,1,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
34,34,sub-005.csv,-0.3389830508474576,15,images/toothbrush.png,2,1,1,0,1,-1.4996870484749811,1,1,3,0,left,34,1,1,1,0,0,0.0,0,Won_Cached,0,1,1,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
35,35,sub-005.csv,-0.288135593220339,16,images/toothbrush.png,2,1,1,1,1,-1.0903465442510771,1,1,3,0,left,34,1,1,1,0,0,0.0,0,Won_Cached,0,1,1,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
36,36,sub-005.csv,-0.1525423728813559,17,images/toothbrush.png,2,1,1,1,1,-0.1479201300766222,1,1,3,0,left,34,1,1,1,0,0,0.0,0,Won_Cached,0,1,1,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
37,37,sub-005.csv,-0.1186440677966101,18,images/toothbrush.png,2,1,1,1,1,-1.2913478838109371,1,1,3,0,left,34,1,1,1,0,0,0.0,0,Won_Cached,0,1,1,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
38,38,sub-005.csv,-0.0677966101694915,19,images/toothbrush.png,2,1,1,1,1,-1.075286463364613,1,1,3,0,left,34,1,1,1,0,0,0.0,0,Won_Cached,0,1,1,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
39,39,sub-005.csv,-0.0508474576271186,20,images/toothbrush.png,2,1,1,0,1,-0.2667036660665892,1,1,3,0,left,34,1,1,1,0,0,0.0,0,Won_Cached,0,1,1,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
40,40,sub-005.csv,-1.0,1,images/car.png,3,1,1,1,1,0.8294684279181836,0,0,3,0,left,34,1,1,1,0,0,0.0,0,Lost_Novel,0,1,1,0,0.0,0,400,400,63900,1.0,0,4,0,4,1
41,41,sub-005.csv,-0.9661016949152542,2,images/car.png,3,1,1,1,1,0.8999174177562098,0,0,3,0,left,34,1,1,1,0,0,0.0,0,Lost_Novel,0,1,1,0,1.0,0,400,400,63900,1.0,0,4,0,4,1
42,42,sub-005.csv,-0.8813559322033898,3,images/bowtie.png,3,0,1,1,1,0.1801525395091146,0,0,3,0,right,34,1,1,1,0,1,0.0,0,Won_Novel,-10,1,1,0,1.0,0,0,0,63900,0.0,0,0,0,0,0
43,43,sub-005.csv,-0.864406779661017,4,images/backpack.png,3,0,0,0,1,-0.5803543530848232,0,0,3,0,left,34,1,1,1,0,0,0.0,0,Won_Novel,-10,1,1,0,1.0,0,0,0,63900,0.3333333333333333,0,0,0,0,0
