Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6473198e6e380a78e3efa34b,5ea026ebbc5a78011ea73ffb,RETURNED,Not Applicable,2023-05-28T09:06:22.974000Z,,,2024-12-28T13:08:45.573179Z,,,2511,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
647319905b958331fd736b08,61603594da220b1a4dbac2ec,RETURNED,Not Applicable,2023-05-28T09:06:34.828000Z,2023-05-28T09:53:48.068000Z,,2024-12-28T13:08:45.579569Z,,NOCODE,1383,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64731990c4b4607e6b7cca35,5fbfffc4e214a60ab1b745fd,APPROVED,,2023-05-28T09:06:24.522000Z,2023-05-28T09:50:10.589000Z,2023-05-28T13:19:27.842000Z,2023-05-28T09:50:10.940309Z,2627,CHPYNJMX,1202,25,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64731991eeedb40a0cd17011,63ea736c2b920ec2af0e7a96,RETURNED,Not Applicable,2023-05-28T09:16:25.380000Z,,,2024-12-28T13:08:45.621366Z,,,161,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
647319920639720f6a7cca7a,5bf2f728bd9f150001f6cc42,APPROVED,,2023-05-28T09:12:21.185000Z,2023-05-28T10:01:51.995000Z,2023-05-28T13:19:28.014000Z,2023-05-28T10:01:52.435681Z,2971,CHPYNJMX,2160,57,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6473199237a12cb2ed5f59ec,612266b4f9ae4a5d04a21dd4,APPROVED,,2023-05-28T09:06:30.788000Z,2023-05-28T09:58:34.266000Z,2023-05-28T09:58:50.166000Z,2023-05-28T09:58:35.028997Z,3124,NOCODE,1256,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
64731992ba0429b4be6a4331,5c4499c3d51119000115109a,RETURNED,Not Applicable,2023-05-28T09:06:34.306000Z,,,2024-12-28T13:08:45.607518Z,,,1690,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
647319935b958331fd736b0b,63de88d74d63ce321662f029,APPROVED,,2023-05-28T09:06:33.624000Z,2023-05-28T10:06:47.469000Z,2023-05-28T13:19:28.190000Z,2023-05-28T10:06:47.838343Z,3614,CHPYNJMX,21,29,Male,Black,Nigeria,United Kingdom,Nigeria,English,Yes,Part-Time
64731993ff858dd95aa6a5c1,62fccb9647eb07d62e9b6baa,RETURNED,Not Applicable,2023-05-28T09:07:41.147000Z,2023-05-28T09:58:10.488000Z,,2024-12-28T13:08:45.701457Z,,NOCODE,1653,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6473199543420989ef1f3d85,63d79c228dea8127e5a4e5cc,RETURNED,Not Applicable,2023-05-28T09:06:29.139000Z,,,2024-12-28T13:08:45.665554Z,,,564,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64731995c16fb3baadf83ed7,5774ed97d8e8880001b2ff6c,APPROVED,Not Applicable,2023-05-28T09:06:29.587000Z,2023-06-22T13:27:55.268000Z,2023-06-22T13:27:55.669000Z,2024-12-28T13:08:45.657941Z,2175686,Manual Completion,3598,62,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
64731995d23538a8f48add3a,5641193817bdbe00122a0f23,RETURNED,Not Applicable,2023-05-28T09:06:29.367000Z,2023-05-28T09:42:55.848000Z,,2024-12-28T13:08:45.668646Z,,NOCODE,2034,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64731995d23538a8f48add3d,63d7c195a5fb49d5a97bf7d5,APPROVED,,2023-05-28T09:06:29.837000Z,2023-05-28T09:52:05.096000Z,2023-05-28T13:19:28.359000Z,2023-05-28T09:52:05.684202Z,2736,CHPYNJMX,216,24,Male,Black,United States,United Kingdom,United Kingdom,English,No,Part-Time
647319961c1d5440c46a4377,6137753896c9b6b5813a2432,RETURNED,Not Applicable,2023-05-28T09:07:48.931000Z,,,2024-12-28T13:08:45.758707Z,,,2096,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64731996b01d3b4b80192ae5,6051570d959c53ccacb61130,RETURNED,Not Applicable,2023-05-28T09:06:41.983000Z,2023-05-28T09:57:15.675000Z,,2024-12-28T13:08:45.685279Z,,NOCODE,2270,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
647319979b7ab1682bce3613,55885582fdf99b4021921fbd,RETURNED,Not Applicable,2023-05-28T09:06:31.563000Z,,,2024-12-28T13:08:45.708594Z,,,4688,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
64731997bea757ba03ae52f8,5953e5633d663c00011d235d,APPROVED,,2023-05-28T09:06:36.227000Z,2023-05-28T10:06:36.761000Z,2023-05-28T13:19:28.528000Z,2023-05-28T10:06:37.209302Z,3601,CHPYNJMX,1413,39,Female,White,United Arab Emirates,United Kingdom,United Kingdom,English,No,Full-Time
