planning_depth,decision,trial_num_within_goal,initiation_decision,is_initiation,G_rollouts_needed,rollout_proxy
3,1,18,1,1,8.0,8.0
3,1,19,1,1,8.0,8.0
3,1,20,1,1,8.0,8.0
3,2,1,1,0,4.0,0.0
3,2,2,1,0,4.0,0.0
3,2,3,1,0,4.0,0.0
3,2,4,1,0,4.0,0.0
3,2,5,1,0,4.0,0.0
3,2,6,1,0,4.0,0.0
3,2,7,1,0,4.0,0.0
3,2,8,1,0,4.0,0.0
3,2,9,1,0,4.0,0.0
3,2,10,1,0,4.0,0.0
3,2,11,1,0,4.0,0.0
3,2,12,1,0,4.0,0.0
3,2,13,1,0,4.0,0.0
3,2,14,1,0,4.0,0.0
3,2,15,1,0,4.0,0.0
3,2,16,1,0,4.0,0.0
3,2,17,1,0,4.0,0.0
3,2,18,1,0,4.0,0.0
3,2,19,1,0,4.0,0.0
3,2,20,1,0,4.0,0.0
3,3,1,1,0,2.0,0.0
3,3,2,1,0,2.0,0.0
3,3,3,1,0,2.0,0.0
3,3,4,1,0,2.0,0.0
3,3,5,1,0,2.0,0.0
3,3,6,1,0,2.0,0.0
3,3,7,1,0,2.0,0.0
3,3,8,1,0,2.0,0.0
3,3,9,1,0,2.0,0.0
3,3,10,1,0,2.0,0.0
3,3,11,1,0,2.0,0.0
3,3,12,1,0,2.0,0.0
3,3,13,1,0,2.0,0.0
3,3,14,1,0,2.0,0.0
3,3,15,1,0,2.0,0.0
3,3,16,1,0,2.0,0.0
3,3,17,1,0,2.0,0.0
3,3,18,1,0,2.0,0.0
3,3,19,1,0,2.0,0.0
3,3,20,1,0,2.0,0.0
