,sub,trial_num,trial_num_within_goal,current_state,decision,got_to_goal,got_to_goal_last,goal_switch,control_regressor,RT,eligible_decisions_accuracy,retrieved_cached,planning_depth,delayed_planning,choices,worry,optimally_delayed,optimally_control_choice,optimally_delayed_last
32,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.3728813559322034,13,images/toothbrush.png,2,1,1,1,1,-0.8096809968158968,1,1,3,0,left,34,1,1,1
33,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.3559322033898305,14,images/toothbrush.png,2,1,1,0,1,-1.179930809845698,1,1,3,0,left,34,1,1,1
34,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.3389830508474576,15,images/toothbrush.png,2,1,1,0,1,-1.4996870484749811,1,1,3,0,left,34,1,1,1
35,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.288135593220339,16,images/toothbrush.png,2,1,1,1,1,-1.0903465442510771,1,1,3,0,left,34,1,1,1
36,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.15254237288135594,17,images/toothbrush.png,2,1,1,1,1,-0.1479201300766222,1,1,3,0,left,34,1,1,1
37,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.11864406779661017,18,images/toothbrush.png,2,1,1,1,1,-1.2913478838109371,1,1,3,0,left,34,1,1,1
38,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.06779661016949153,19,images/toothbrush.png,2,1,1,1,1,-1.075286463364613,1,1,3,0,left,34,1,1,1
39,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.05084745762711865,20,images/toothbrush.png,2,1,1,0,1,-0.2667036660665892,1,1,3,0,left,34,1,1,1
40,5AD_thisExp_2023-05-28_12h16.10.170.csv,-1.0,1,images/car.png,3,1,1,1,1,0.8294684279181836,0,0,3,0,left,34,1,1,1
41,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.9661016949152542,2,images/car.png,3,1,1,1,1,0.8999174177562098,0,0,3,0,left,34,1,1,1
42,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.8813559322033898,3,images/bowtie.png,3,0,1,1,1,0.18015253950911464,0,0,3,0,right,34,1,1,1
43,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.864406779661017,4,images/backpack.png,3,0,0,0,1,-0.5803543530848232,0,0,3,0,left,34,1,1,1
44,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.8305084745762712,5,images/car.png,3,1,0,1,1,1.4533687267842115,0,0,3,0,left,34,1,1,1
45,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.7966101694915254,6,images/car.png,3,1,1,1,1,1.4567761236582608,0,1,3,0,left,34,1,1,1
46,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.7796610169491526,7,images/car.png,3,1,1,0,1,-0.04436994773594053,0,1,3,0,left,34,1,1,1
47,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.711864406779661,8,images/car.png,3,1,1,1,1,0.5101854188785674,0,0,3,0,left,34,1,1,1
48,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.6949152542372882,9,images/car.png,3,1,1,0,1,-1.0191543673333943,0,0,3,0,left,34,1,1,1
49,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.559322033898305,10,images/backpack.png,3,0,1,1,1,-0.13273171245395826,0,1,3,0,left,34,1,1,1
50,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.5254237288135594,11,images/car.png,3,1,0,1,1,-0.35681781128664314,0,0,3,0,left,34,1,1,1
51,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.4745762711864407,12,images/car.png,3,1,1,1,1,-0.660486398320397,0,0,3,0,left,34,1,1,1
52,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.3728813559322034,13,images/car.png,3,1,1,1,1,-0.8416471888783893,0,1,3,0,left,34,1,1,1
53,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.3559322033898305,14,images/car.png,3,1,1,0,1,-0.3367322704270728,0,1,3,0,left,34,1,1,1
54,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.3389830508474576,15,images/car.png,3,1,1,0,1,-1.526476391719753,0,1,3,0,left,34,1,1,1
55,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.288135593220339,16,images/car.png,3,1,1,1,1,-0.5725237382362065,0,1,3,0,left,34,1,1,1
56,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.15254237288135594,17,images/car.png,3,1,1,1,1,-1.9255194594075793,0,0,3,0,left,34,1,1,1
57,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.11864406779661017,18,images/car.png,3,1,1,1,1,-0.3912663887083514,0,0,3,0,left,34,1,1,1
58,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.06779661016949153,19,images/car.png,3,1,1,1,1,-2.1883639489040227,0,1,3,0,left,34,1,1,1
59,5AD_thisExp_2023-05-28_12h16.10.170.csv,-0.05084745762711865,20,images/car.png,3,1,1,0,1,-2.0890879187316416,0,1,3,0,left,34,1,1,1
60,5PARTICIPANT_thisExp_2022-08-04_10h44.32.510.csv,-1.0,1,start,1,0,0,1,1,3.421094775709655,1,0,3,1,left,36,0,1,0
61,5PARTICIPANT_thisExp_2022-08-04_10h44.32.510.csv,-0.9830508474576272,2,start,1,1,0,0,1,2.1490842020082845,1,0,3,1,right,36,0,1,0
62,5PARTICIPANT_thisExp_2022-08-04_10h44.32.510.csv,-0.9491525423728814,3,start,1,0,1,1,1,1.5660710157288875,1,1,3,1,right,36,0,1,0
63,5PARTICIPANT_thisExp_2022-08-04_10h44.32.510.csv,-0.9152542372881356,4,start,1,1,0,1,1,1.5030324065196508,1,1,3,1,right,36,0,1,0
64,5PARTICIPANT_thisExp_2022-08-04_10h44.32.510.csv,-0.8983050847457628,5,start,1,0,1,0,1,0.26689245824422453,1,1,3,1,right,36,0,1,0
