Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Fluent languages,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6679c0d8b126d893d4d4108b,582f8bbd4cadc80001b0fbd3,APPROVED,Not Applicable,2024-06-24T18:54:23.752000Z,2024-06-24T19:47:19.416000Z,2024-06-28T21:31:31.543000Z,2024-06-24T19:47:19.931100Z,3176.0,CHPYNJMX,2357,English,38,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6679c11c8054ee0e79a330dc,5e19b24b2bf9512392d6dd90,APPROVED,Not Applicable,2024-06-24T18:55:32.560000Z,2024-06-24T20:06:21.838000Z,2024-07-15T00:06:32.386000Z,2024-06-24T20:06:22.394034Z,4250.0,NOCODE,1458,English,60,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6679c13044509bbfd7580525,6581a479f9807ef785856770,APPROVED,Not Applicable,2024-06-24T19:01:02.331000Z,2024-06-24T20:48:35.067000Z,2024-06-28T21:31:31.819000Z,2024-06-24T20:48:35.562963Z,6453.0,CHPYNJMX,148,English,20,Male,Other,Nigeria,United States,Nigeria,English,No,Full-Time
6679c13d100f72c1edc578e1,5c573f18d3cc6b0001d9dbc3,APPROVED,Not Applicable,2024-06-24T18:55:57.373000Z,2024-06-24T20:13:01.280000Z,2024-06-28T21:31:32.100000Z,2024-06-24T20:14:39.972630Z,4624.0,CHPYNJMX,2937,English,41,Male,Black,United States,United States,United States,English,DATA_EXPIRED,Full-Time
6679c14b40c65b57b35fad71,5ba104967b196f00019640a1,APPROVED,Not Applicable,2024-06-24T18:56:11.944000Z,2024-06-24T19:59:22.226000Z,2024-06-28T21:31:32.361000Z,2024-06-24T20:01:05.071781Z,3791.0,CHPYNJMX,2165,English,49,Male,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6679c154bafe123915441aa1,5f286776a2baad15c3072947,APPROVED,Not Applicable,2024-06-24T18:56:43.425000Z,2024-06-24T19:45:06.740000Z,2024-06-28T21:31:32.613000Z,2024-06-24T19:46:40.244905Z,2904.0,CHPYNJMX,142,English,39,Female,White,Ireland,Ireland,Ireland,English,No,Full-Time
6679c1562c4f9640fa7e8913,639b9b047b98a3d09a77a6c6,APPROVED,Not Applicable,2024-06-24T18:56:22.734000Z,2024-06-24T20:49:32.752000Z,2024-07-15T00:06:32.764000Z,2024-06-24T20:49:33.386410Z,6791.0,NOCODE,1093,"English, French, German",32,Male,Black,Nigeria,United Kingdom,Nigeria,English,DATA_EXPIRED,Part-Time
6679c18c73f1441d1410e13e,63b2d04ed0f53f75de4ba38e,APPROVED,Not Applicable,2024-06-24T18:57:26.711000Z,2024-06-24T19:42:17.340000Z,2024-06-28T21:31:32.884000Z,2024-06-24T19:43:19.122682Z,2691.0,CHPYNJMX,1051,English,67,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6679c18e89321f3e55b5a26a,652fe805e19cd8c9d83c1456,APPROVED,Not Applicable,2024-06-24T18:57:24.609000Z,2024-06-24T19:50:52.855000Z,2024-06-28T21:31:33.163000Z,2024-06-24T19:50:53.379672Z,3209.0,CHPYNJMX,454,English,27,Female,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Full-Time
6679c19ccbfb3554d9ae1d04,5f4e79fc592a74059a7a9786,APPROVED,Not Applicable,2024-06-24T18:57:37.563000Z,2024-06-24T20:11:34.552000Z,2024-06-28T21:31:33.427000Z,2024-06-24T20:14:15.864987Z,4437.0,CHPYNJMX,191,English,30,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6679c1b08f8d6c06f3a9ed74,566feba6b937e400052d33b2,APPROVED,Not Applicable,2024-06-24T19:01:11.101000Z,2024-06-24T19:47:44.632000Z,2024-06-28T21:31:33.713000Z,2024-06-24T19:47:45.834323Z,2794.0,CHPYNJMX,4666,English,42,Male,White,United Kingdom,United Kingdom,United Kingdom,English,DATA_EXPIRED,DATA_EXPIRED
6679c1c28e1f89532022d6f5,662d8e525d53b0503c77995d,APPROVED,Not Applicable,2024-06-24T18:58:37.235000Z,2024-06-24T20:10:23.777000Z,2024-06-28T21:31:34.021000Z,2024-06-24T20:13:14.234907Z,4307.0,CHPYNJMX,129,English,23,Female,Black,Nigeria,United Kingdom,Nigeria,English,No,Part-Time
6679c21b9a8e3a27bbd47e47,609140cea1442672dd2141d7,APPROVED,Not Applicable,2024-06-24T18:59:46.165000Z,2024-06-24T19:46:14.288000Z,2024-06-28T21:31:34.305000Z,2024-06-24T19:46:47.792370Z,2789.0,CHPYNJMX,1812,English,46,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6679c223d700248e8026eae0,60a80fcc64a536b0bec96e7a,APPROVED,Not Applicable,2024-06-24T19:00:04.381000Z,2024-06-24T19:47:02.025000Z,2024-07-15T00:06:33.245000Z,2024-06-24T19:47:02.883371Z,2818.0,NOCODE,316,English,55,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Other
6679c23cdb08567dd2e9283e,6663b39d3676132ea478c7c1,APPROVED,Not Applicable,2024-06-24T19:00:18.732000Z,2024-06-24T19:44:02.517000Z,2024-06-28T21:31:34.603000Z,2024-06-24T19:46:21.827536Z,2624.0,CHPYNJMX,8,"English, Hindi",26,Male,Asian,India,United Kingdom,India,English,Yes,Part-Time
6679c270100f72c1edc57910,65e06828f8952ed833dbb0f8,APPROVED,Not Applicable,2024-06-24T19:01:33.872000Z,2024-06-24T20:21:29.783000Z,2024-06-28T21:31:34.938000Z,2024-06-24T20:22:26.600831Z,4796.0,CHPYNJMX,65,English,27,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
6679c27cb2457aa4798d4c4f,5e4566e8f64db704b739b757,APPROVED,Not Applicable,2024-06-24T19:01:32.937000Z,2024-06-24T19:54:30.052000Z,2024-06-28T21:31:35.246000Z,2024-06-24T19:54:39.990077Z,3178.0,CHPYNJMX,1567,"English, Hindi",32,Male,Asian,India,United States,India,English,No,Full-Time
6679c28b9333e18275db8506,66366bd4ac7ddf01c560d65d,APPROVED,Not Applicable,2024-06-24T19:03:03.370000Z,2024-06-24T20:50:23.668000Z,2024-07-15T00:06:33.796000Z,2024-06-24T20:52:46.796003Z,6441.0,NOCODE,119,English,34,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time
6679c2aabc5e70fcb585d665,5efa33c4e9f4160ffd817db9,APPROVED,Not Applicable,2024-06-24T19:02:58.283000Z,2024-06-24T19:58:51.645000Z,2024-06-28T21:31:35.751000Z,2024-06-24T20:00:57.480846Z,3354.0,CHPYNJMX,2588,English,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
6679c2ed7fb232ebca427b82,665ddc38a270e0c579baf993,APPROVED,Not Applicable,2024-06-24T19:03:13.779000Z,2024-06-24T20:07:09.080000Z,2024-06-28T21:31:36.013000Z,2024-06-24T20:07:09.974727Z,3836.0,CHPYNJMX,32,English,20,Female,White,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking)
6679c2fbe7b2eabbfa38ebad,5d3ee89122ed84000172272a,APPROVED,Not Applicable,2024-06-24T19:03:31.239000Z,2024-06-24T19:59:14.029000Z,2024-06-28T21:25:32.673000Z,2024-06-24T20:01:03.069973Z,3343.0,CHPYNJMX,168,English,53,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
