sub,percent_correct
594e2ffc27f8fb000162078b_thisExp_2023-05-29_10h28.44.128.csv,0.5
5Andrew_thisExp_2023-05-26_10h55.08.661.csv,0.25
5ba4d89abf3b9d000152023c_thisExp_2023-05-29_12h45.44.739.csv,0.6875
5ee64d0bf796cb3b252a8c99_thisExp_2023-05-29_11h01.16.759.csv,0.5625
5PARTICIPANT_thisExp_2023-05-29_10h43.01.802.csv,0.625
5PARTICIPANT_thisExp_2023-05-29_10h53.21.348.csv,0.5625
5PARTICIPANT_thisExp_2023-05-29_11h24.16.292.csv,0.3125
6040baff2fafec2fca495656_thisExp_2023-05-29_10h26.21.896.csv,0.5
612eb27ffda153fd8792e92d_thisExp_2023-05-29_10h39.44.889.csv,0.25
