model,npar,sum_loglik,sum_lme,sum_bic,n_sub,delta_BIC_vs_MBMC,delta_LME_vs_MBMC,study
MBMC,9,-4431.9693349562285,-4431.9693349562285,16482.006370168398,163,0.0,0.0,study2
SR,2,-7916.677882327567,-7916.677882327567,17526.259698045345,163,1044.2533278769479,-3484.7085473713387,study2
PR,2,-8446.065637011254,-8446.065637011254,18585.035207412715,163,2103.0288372443174,-4014.0963020550253,study2
CB,1,-12584.122311823754,-12584.122311823754,26014.69659034261,163,9532.690220174212,-8152.1529768675255,study2
