study,model,sub,npar,loglik,lme,bic,n_obs
study2,MBMC,sub-001.csv,9,-22.07039840771879,-22.07039840771879,90.87740847344948,180
study2,MBMC,sub-002.csv,9,-2.8390942339213407,-2.8390942339213407,52.414800125854576,180
study2,MBMC,sub-003.csv,9,-16.664517791821616,-16.664517791821616,80.06564724165513,180
study2,MBMC,sub-004.csv,9,-7.661592576737639,-7.661592576737639,62.059796811487175,180
study2,MBMC,sub-005.csv,9,-9.465858204003972,-9.465858204003972,65.66832806601984,180
study2,MBMC,sub-006.csv,9,-6.213398781897697,-6.213398781897697,59.163409221807285,180
study2,MBMC,sub-007.csv,9,-12.10124998408328,-12.10124998408328,70.93911162617846,180
study2,MBMC,sub-011.csv,9,-11.098754129282138,-11.098754129282138,68.93411991657618,180
study2,MBMC,sub-012.csv,9,-0.4379160301945062,-0.4379160301945062,47.61244371840091,180
study2,MBMC,sub-013.csv,9,-0.45112755850877384,-0.45112755850877384,47.63886677502944,180
study2,MBMC,sub-008.csv,9,-11.443174227320226,-11.443174227320226,69.62296011265235,180
study2,MBMC,sub-014.csv,9,-7.70338008855942,-7.70338008855942,62.143371835130736,180
study2,MBMC,sub-015.csv,9,-5.6345561320924045,-5.6345561320924045,58.00572392219671,180
study2,MBMC,sub-016.csv,9,-20.150653926866994,-20.150653926866994,87.03791951174588,180
study2,MBMC,sub-017.csv,9,-27.610009372918064,-27.610009372918064,101.95663040384802,180
study2,MBMC,sub-018.csv,9,-43.18355206137748,-43.18355206137748,133.10371578076686,180
study2,MBMC,sub-019.csv,9,-72.19391427221417,-72.19391427221417,191.12444020244024,180
study2,MBMC,sub-020.csv,9,-5.164682560282451,-5.164682560282451,57.0659767785768,180
study2,MBMC,sub-021.csv,9,-20.786814928973236,-20.786814928973236,88.31024151595837,180
study2,MBMC,sub-009.csv,9,-0.3114672652136346,-0.3114672652136346,47.35954618843917,180
study2,MBMC,sub-010.csv,9,-28.053654230549547,-28.053654230549547,102.84392011911099,180
study2,MBMC,sub-022.csv,9,-14.059172800025502,-14.059172800025502,74.8549572580629,180
study2,MBMC,sub-023.csv,9,-21.29265194717009,-21.29265194717009,89.32191555235207,180
study2,MBMC,sub-024.csv,9,-20.300910805789233,-20.300910805789233,87.33843326959035,180
study2,MBMC,sub-025.csv,9,-31.23883353077061,-31.23883353077061,109.2142787195531,180
study2,MBMC,sub-026.csv,9,-2.880178950744285,-2.880178950744285,52.496969559500464,180
study2,MBMC,sub-027.csv,9,-15.794143252004655,-15.794143252004655,78.32489816202121,180
study2,MBMC,sub-028.csv,9,-21.09239847499744,-21.09239847499744,88.92140860800677,180
study2,MBMC,sub-029.csv,9,-0.4431529930357041,-0.4431529930357041,47.6229176440833,180
study2,MBMC,sub-030.csv,9,-96.17509895468098,-96.17509895468098,239.08680956737385,180
study2,MBMC,sub-031.csv,9,-44.054513276862295,-44.054513276862295,134.84563821173649,180
study2,MBMC,sub-032.csv,9,-35.89711691390987,-35.89711691390987,118.53084548583163,180
study2,MBMC,sub-033.csv,9,-24.368828493905195,-24.368828493905195,95.47426864582229,180
study2,MBMC,sub-034.csv,9,-0.4396278079436296,-0.4396278079436296,47.615867273899156,180
study2,MBMC,sub-035.csv,9,-85.75846803282778,-85.75846803282778,218.25354772366745,180
study2,MBMC,sub-036.csv,9,-37.87805900166042,-37.87805900166042,122.49272966133273,180
study2,MBMC,sub-037.csv,9,-19.52256493781835,-19.52256493781835,85.78174153364859,180
study2,MBMC,sub-038.csv,9,-23.82495691083646,-23.82495691083646,94.38652547968482,180
study2,MBMC,sub-039.csv,9,-71.87782625326183,-71.87782625326183,190.49226416453556,180
study2,MBMC,sub-040.csv,9,-104.22603667456805,-104.22603667456805,255.188685007148,180
study2,MBMC,sub-041.csv,9,-6.0203535589203145,-6.0203535589203145,58.77731877585252,180
study2,MBMC,sub-042.csv,9,-15.638968093182234,-15.638968093182234,78.01454784437637,180
study2,MBMC,sub-043.csv,9,-10.218160799776813,-10.218160799776813,67.17293325756552,180
study2,MBMC,sub-044.csv,9,-24.40467284811934,-24.40467284811934,95.54595735425058,180
study2,MBMC,sub-045.csv,9,-41.172321588814704,-41.172321588814704,129.0812548356413,180
study2,MBMC,sub-046.csv,9,-21.122875861147328,-21.122875861147328,88.98236338030655,180
study2,MBMC,sub-047.csv,9,-58.55352576009096,-58.55352576009096,163.84366317819382,180
study2,MBMC,sub-048.csv,9,-0.4331298985414009,-0.4331298985414009,47.6028714550947,180
study2,MBMC,sub-049.csv,9,-58.183701766386875,-58.183701766386875,163.10401519078565,180
study2,MBMC,sub-050.csv,9,-63.85743892833122,-63.85743892833122,174.45148951467434,180
study2,MBMC,sub-051.csv,9,-19.293262816807776,-19.293262816807776,85.32313729162745,180
study2,MBMC,sub-052.csv,9,-64.97712026981974,-64.97712026981974,176.69085219765137,180
study2,MBMC,sub-053.csv,9,-27.581890436537183,-27.581890436537183,101.90039253108625,180
