parameter,symbol,n,median,Q1,Q3
MB_B,$\beta_{\mathrm{MBMC}}$,163,1.2369200863500878,0.5135970195320303,1.910878124299716
MB_depth,$\gamma_d$,163,0.6549263953660245,0.4379017395172746,0.807577574709736
MB_breadth,$\tilde b_1$,163,0.502544524527004,0.3750000079305034,0.6144891691334935
breadth2,$\tilde b_2$,163,0.4008172106566025,0.1250003628535834,0.4970342106049376
mbcache,$\kappa_C$,163,2.4578527691402,1.4952077303201472,4.376324442129544
CB,$\beta_{\mathrm{CB}}$,163,0.5335541996487527,-0.36629454049283194,1.4618559908126885
forgetC,$\gamma_C$,163,0.06891502114240781,0.033304918747431474,0.13996813876755498
cache_reward,$\kappa_R$,163,0.5748087780193543,0.17494294618120637,1.2964986422142797
cache_plan,$\omega_P$,163,1.9868567758968154,0.8060605248406998,3.2848273849943515
