study,model,sub,npar,loglik,lme,bic,n_obs
study1,MBMC,sub-086.csv,9,-20.063990589623863,-20.063990589623863,86.86459283725962,180
study1,MBMC,sub-035.csv,9,-3.1119262216187105,-3.1119262216187105,52.960464101249315,180
study1,MBMC,sub-066.csv,9,-5.640011929055774,-5.640011929055774,58.01663551612344,180
study1,MBMC,sub-058.csv,9,-11.18428228982766,-11.18428228982766,69.10517623766722,180
study1,MBMC,sub-010.csv,9,-0.4444545109712107,-0.4444545109712107,47.62552067995432,180
study1,MBMC,sub-015.csv,9,-40.81552834961928,-40.81552834961928,128.36766835725047,180
study1,MBMC,sub-078.csv,9,-79.5464275369894,-79.5464275369894,205.8294667319907,180
study1,MBMC,sub-042.csv,9,-0.43909145762252816,-0.43909145762252816,47.61479457325695,180
study1,MBMC,sub-069.csv,9,-73.76595656595254,-73.76595656595254,194.26852478991697,180
study1,MBMC,sub-090.csv,9,-5.189845863450355,-5.189845863450355,57.116303384912605,180
study1,MBMC,sub-054.csv,9,-7.744183628921508,-7.744183628921508,62.22497891585491,180
study1,MBMC,sub-076.csv,9,-27.242839446836555,-27.242839446836555,101.222290551685,180
study1,MBMC,sub-045.csv,9,-93.26156444397873,-93.26156444397873,233.25974054596935,180
study1,MBMC,sub-039.csv,9,-84.29573249300915,-84.29573249300915,215.3280766440302,180
study1,MBMC,sub-079.csv,9,-19.999839827654192,-19.999839827654192,86.73629131332028,180
study1,MBMC,sub-089.csv,9,-26.14319144345107,-26.14319144345107,99.02299454491404,180
study1,MBMC,sub-074.csv,9,-10.180416397550163,-10.180416397550163,67.09744445311222,180
study1,MBMC,sub-014.csv,9,-69.20304353009124,-69.20304353009124,185.14269871819437,180
study1,MBMC,sub-062.csv,9,-22.79384148234143,-22.79384148234143,92.32429462269477,180
study1,MBMC,sub-025.csv,9,-45.97286746969148,-45.97286746969148,138.68234659739485,180
study1,MBMC,sub-040.csv,9,-13.536740486122214,-13.536740486122214,73.81009263025632,180
study1,MBMC,sub-077.csv,9,-35.89477611843202,-35.89477611843202,118.52616389487594,180
