model,npar,sum_loglik,sum_lme,sum_bic,n_sub,delta_BIC_vs_MBMC,delta_LME_vs_MBMC,study
MBMC,9,-2571.365554979134,-2571.365554979134,9489.235994153374,93,0.0,0.0,study1
SR,2,-4556.521869715639,-4556.521869715639,10078.933713696857,93,589.6977195434829,-1985.156314736505,study1
PR,2,-4936.04144930035,-4936.04144930035,10837.97287286628,93,1348.7368787129053,-2364.675894321216,study1
CB,1,-7129.857035331215,-7129.857035331215,14742.65905779522,93,5253.423063641845,-4558.491480352081,study1
