,$\beta_{\mathrm{MBMC}}$,$\gamma_d$,$\tilde b_1$,$\tilde b_2$,$\kappa_C$,$\beta_{\mathrm{CB}}$,$\gamma_C$,$\kappa_R$,$\omega_P$
$\beta_{\mathrm{MBMC}}$,0.6496261765400829,0.10199242656323548,0.06249648680103982,0.07235530351763898,0.01668666825100545,-0.3219676313330688,-0.0017286209332495704,0.06694501081728532,-0.045456834099895704
$\gamma_d$,0.14382008010804623,0.8215397013770711,-0.005332320203761436,-0.044426371655823374,-0.0709423223613639,0.23896589207117042,-0.05658866839750093,0.16135425542283446,0.01211826561036446
$\tilde b_1$,0.06927740361153295,0.03247058899832175,0.5023272220863785,0.03298776050840691,0.0013790928219147625,0.04521298701597948,-0.011653611488182829,-0.002472449078242619,-0.05441284662953889
$\tilde b_2$,0.09127559555803687,-0.043501550727251086,-0.005068010126312602,0.5342817540907379,-0.02317907311770933,-0.17117181122901517,-0.033145355698104374,-0.022138326253683924,-0.008433438709400713
$\kappa_C$,-0.001469546164463769,-0.005809585887662661,0.005748896806098456,-0.01801482714974392,0.8273199946871018,0.05409558670275358,0.027364225212303507,0.3721301519750755,0.030282717632140955
$\beta_{\mathrm{CB}}$,-0.28980701712154017,0.11166671016258632,0.045037549229173336,-0.12155761029495638,0.02872141551613144,0.572961151812431,-0.019167132149782655,-0.027515173705187666,0.015058783856469244
$\gamma_C$,0.0034539519824897456,-0.013411412480930897,-0.009884835137214734,0.005299322804599903,0.041847521197188195,-0.002749863496323934,0.5938293700918137,0.08622896328247451,-0.04937196374886656
$\kappa_R$,0.044552348222882045,0.04602077978088366,-0.0025153365434587107,0.02354256537789848,0.16028273920444622,-0.04698596584997036,0.048328663313322,0.47080884175405113,-0.04428522337874585
$\omega_P$,-0.03038754398008774,-0.008603167322257308,0.03350130032703831,-0.04088216000621708,0.008654945889584492,0.07031343914616293,-0.057423253067683144,0.02351123997488479,0.5442707637204923
