,$\beta_{\mathrm{MBMC}}$,$\gamma_d$,$\tilde b_1$,$\tilde b_2$ (gated),$\kappa_C$,$\beta_{\mathrm{CB}}$,$\gamma_C$,$\kappa_R$,$\omega_P$
$\beta_{\mathrm{MBMC}}$,0.649633725064201,0.1275009026096836,-0.017338479823230845,0.04384983898038748,0.016205881565349155,-0.2926651140178957,-0.024929124283333055,0.02490838919605976,0.05820672761547585
$\gamma_d$,0.17294308953929924,0.7796165283690433,-0.0010449826875515932,-0.02927051887368056,-0.030506474835000862,0.17308812233174856,0.028196346259712762,0.19766338941438275,-0.03259992107529428
$\tilde b_1$,0.007423317463380659,0.007664555154524156,0.4156825327705153,0.020801794129424116,0.04942650725007243,0.028730309167796748,-0.048536904826036203,0.010186830087414217,0.06624088866030299
$\tilde b_2$ (gated),0.06618212630923237,0.03457838420479782,0.02318857154534953,0.5327879340174324,0.0074985636476732715,-0.0851561607099666,-0.09573398224907684,0.03426019249357028,0.000979773462006918
$\kappa_C$,0.03343635905764736,0.03834342144903301,0.023618311152349452,0.003334480676972443,0.788579902450208,-2.8935602576674047e-05,0.007866782132300142,0.4801789712388958,0.041059240307553625
$\beta_{\mathrm{CB}}$,-0.1878474944576465,0.12001937439803831,0.029392034477184074,-0.04471804498215629,-0.05030379460145501,0.546196290405544,-0.08199562113274986,0.0320481967649328,0.04045612452918907
$\gamma_C$,0.04342297613897472,0.08306235454166841,0.008226706426199621,-0.02264659959491671,0.08148004727554868,-0.047772498061918654,0.4965105554204626,0.050521698397582325,-0.00014957322998571527
$\kappa_R$,0.005495135205233067,0.05295347546240494,0.0032969187185163894,0.017467169151003263,0.2337082813020314,0.08498122072876088,-0.0385860362994998,0.4809643475290713,0.03953609500962383
$\omega_P$,-0.0028153315408700986,-0.005170137140960505,-0.019008538689842893,-0.03522466125945211,0.047596825242235165,0.07683492081214705,0.05114514383651468,0.050336215444540755,0.5694459890623801
