,MB_beta,forgetting,MB_depth,MB_breadth_A1,MB_breadth_A2,rewardEffectCache,cache,CB,repeat_control
0,1.3391363795525035,0.013019587640094265,0.8712840437068337,1.7722544253779324,0.5538258463362882,1.122567703644586,3.4757865520700433,-0.6182611367738259,1.5757934978301298
1,1.299197754899637,0.061447662430752066,0.8738310877308768,3.4976800283049623,0.23494323476265944,0.680075157449032,2.4621020771125197,1.8952703263999702,4.536741888574516
2,1.0794906987573005,0.03838176615466388,0.6562301138235735,3.071077863532381,1.3683323641932623,1.2173266528253979,2.049489148404135,1.242347742288743,4.3609916684023275
3,1.6697237976950743,0.021607687520455263,0.7418541838492487,2.9719373147180304,0.9912133847970069,1.2887711177452306,3.5839882858255283,0.4107053647797323,3.319086100620553
4,1.5637687126368487,0.02432332897898035,0.6949384448511586,4.824394513002497,1.2852166230139885,1.192945432696184,3.6348032800802823,0.5623430098914962,3.032131271115924
5,1.3919946515193322,0.01274353757604867,0.604784445809064,3.804179661500503,0.8482790877947285,1.3899452167202198,3.7509364553720825,0.4659454716384209,2.8372903601324073
6,1.6912790589255455,0.009065309294457705,0.9654648748733663,2.1945258809830284,0.7618184644572135,1.193205703801909,4.417320431632727,-1.0214086890107472,1.739804740960961
7,1.998153591092331,0.04789386835397659,0.8902384856020829,3.6714493698500834,0.03987369391887746,0.7301373387490216,2.290675993317322,-0.06914484711008295,0.6414477072034221
8,1.1942081898696286,0.04947700033129544,0.8108779417358594,4.526593459179297,0.4417479946132188,0.982411559817371,2.846959490452549,1.6691640940767827,2.8225716698551238
9,1.2069794018760835,0.04612312042398631,0.8046708824205584,4.583283959627993,0.4260564993985386,0.9927712750448929,2.820278211064376,1.6275130009467227,2.6820205064588443
10,1.1314511924321913,0.024712565046116974,0.5287157765462032,2.314829881917065,1.8621099541776067,1.618865284619197,3.2478595374916295,1.0043637903002933,0.25295989413290004
11,1.6148386947491793,0.04410855490236451,0.8897442393318488,3.33895095030191,0.04435897462114295,1.1253076013155963,2.1737662555005115,0.4090598642404555,0.7964835158293946
