parameter,symbol,n,mean,sem,median,Q1,Q3
MB_B,beta_MBMC,163,1.241,0.0434,1.1948,0.8145,1.5715
MB_depth,gamma_d,163,0.6708,0.0212,0.7934,0.5636,0.8618
MB_breadth,b1_tilde,163,0.4845,0.0126,0.5353,0.378,0.5961
breadth2,b2_tilde,163,0.1985,0.0148,0.1324,0.0693,0.2864
mbcache,kappa_C,163,2.3142,0.0696,2.1842,1.6407,2.8428
CB,beta_CB,163,0.259,0.0726,0.2669,-0.3006,0.8914
forget,gamma_C,163,0.0543,0.0029,0.0457,0.035,0.0604
cache_reward,kappa_R,163,0.8272,0.0267,0.8837,0.6405,1.0114
cache_plan,omega_P,163,2.4238,0.1266,2.2268,1.117,3.3865
