,$\beta_{\mathrm{MBMC}}$,$\gamma_d$,$\tilde b_1$,$\tilde b_2$,$\kappa_C$,$\beta_{\mathrm{CB}}$,$\gamma_C$,$\kappa_R$,$\omega_P$
$\beta_{\mathrm{MBMC}}$,0.6845386134266178,0.26155153952846455,-0.032969078648934155,0.09177407160107748,0.05173986646227991,0.0945765662471298,-0.058275269919581076,0.2598513160865868,0.11542095807115604
$\gamma_d$,0.11814168009493276,0.814279506673454,-0.03459510555582796,-0.027898060511606895,0.03224610641261436,0.3656016805455019,-0.027029829059950612,0.28432939402261137,0.23414849301312707
$\tilde b_1$,0.08109254435671998,-0.01189541877866466,0.6095789925733475,0.20565690650183657,0.06663662602737959,0.05719885043349893,-0.21050936724348862,0.22308848786418428,0.05703612403634591
$\tilde b_2$,0.2608277459036073,0.009951428058759948,0.2074336351074334,0.5414117296708579,-0.037291206415733684,-0.2924544736770999,-0.026305360114858088,0.033148664515621235,-0.05867849176291262
$\kappa_C$,-0.009778146960061426,0.1021850192355026,0.08728204523236197,0.1392943877337662,0.722021507745102,0.1801027052488442,-0.20302747321530196,0.48014493657251606,-0.08409980462803497
$\beta_{\mathrm{CB}}$,-0.08672737750090302,0.28567634065791797,-0.04676625308346455,-0.2201187043589377,0.09353673696858084,0.8101424927526029,-0.12952599218888444,0.2722595638544367,0.06571681431512513
$\gamma_C$,-0.12510837057388527,0.04802929905603799,-0.09795587742878664,-0.04659250183859302,-0.2372495322787372,-0.065760792272926,0.6374964450713042,-0.18413238247999486,0.0244631368752892
$\kappa_R$,0.14061057059518,0.3805700899985233,-0.00030606036211495145,-0.06319047621132817,0.39394119165416697,0.2168918846436735,-0.07959446911561358,0.6465198745441623,0.15845831923748016
$\omega_P$,0.10100253553729144,0.14405048966488498,0.017411335117956346,-0.08018651247602172,-0.06403772511651284,0.010156195038386922,0.09294812901832739,0.024121521234262134,0.6309654954280287
