sub,planning_depth,trial_num_within_goal,decision,rollouts,control,b1,b2,RT_sec,RT,delayed_planning,goal_switch,control_regressor
0,3,1,1,14.000427690388907,1,0.8750267306493067,0.2294427601939151,4.900128307116672,1.589261389899608,1,1,1.0
0,3,1,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,1,1.0
0,3,1,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,1,1.0
0,3,2,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,2,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,2,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,3,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,3,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,3,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,4,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,4,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,4,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,5,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,5,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,5,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,6,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,6,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,6,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,7,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,7,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,7,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,8,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,8,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,8,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,9,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,9,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,9,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,10,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,10,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,10,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,11,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,11,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,11,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,12,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,12,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,12,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,13,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,13,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,13,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,14,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,14,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,14,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,15,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,15,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,15,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,16,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,16,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,16,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,17,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,17,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,17,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,18,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,18,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,18,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,19,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,19,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,19,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,20,1,7.0002138451944536,1,0.8750267306493067,0.2294427601939151,2.8000641535583357,1.0296423289038026,1,0,1.0
0,3,20,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,3,20,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,2,1,1,8.91777104077566,1,0.8750267306493067,0.2294427601939151,3.3753313122326976,1.216493486093935,0,1,1.0
0,2,1,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,1,1,1.0
0,2,1,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,1,1.0
0,2,2,1,4.91777104077566,1,0.8750267306493067,0.2294427601939151,2.1753313122326983,0.777180980403307,0,0,1.0
0,2,2,2,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,1,0,1.0
0,2,2,3,0.0,1,0.8750267306493067,0.2294427601939151,0.7,-0.35667494393873245,0,0,1.0
0,2,3,1,4.91777104077566,0,0.8750267306493067,0.2294427601939151,2.1753313122326983,0.777180980403307,0,0,0.0
0,2,3,2,8.0,1,0.8750267306493067,0.2294427601939151,3.0999999999999996,1.1314021114911004,1,0,1.0
