,Unnamed: 0,sub,trial_num,trial_num_within_goal,current_state,decision,got_to_goal,got_to_goal_last,goal_switch,control_regressor,RT,eligible_decisions_accuracy,retrieved_cached,planning_depth,delayed_planning,choices,worry,optimally_delayed,optimally_control_choice,optimally_delayed_last,choice_numeric,choice_numeric_last,choices_numeric,interaction_won_and_metachoice,got_to_goal_retrieved_cached,MB_decision,optimal_metacontrol_choice,optimal_metacontrol_choice_accurate,over_planning,over_control,optimal_metacontrol_choice_last,points_from_choice,points_from_goal,trial_points,total_points,correct_control_action,meta_action,switch_order,goal_reachability
20,20,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.9322033898305084,1,images/baby.png,2,0,,1,1,1.8192287112176,0,0,3,0,space,30,0,0,1,1,0.0,2,0,Won_Novel,-10,0,0,1,0,0.0,-100,0,-300,72300,,1,1,1
21,21,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.8813559322033898,2,images/toothbrush.png,2,1,,1,1,1.5513425892433883,1,0,3,0,left,30,1,1,0,0,0.0,0,0,Lost_Novel,0,1,1,1,0,0.0,0,400,400,72300,1.0,0,1,0
22,22,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.864406779661017,3,images/toothbrush.png,2,0,1.0,0,1,1.8925545792629497,1,0,3,0,right,30,0,1,1,0,0.0,1,0,Won_Novel,0,1,0,1,0,1.0,0,0,-100,72300,0.5,0,0,-1
23,23,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.7966101694915254,4,images/baby.png,2,0,0.0,1,1,1.0597675048445423,0,1,3,0,space,30,0,0,0,1,1.0,2,-1,Lost_Cached,-10,0,0,1,0,1.0,-100,0,-300,72300,,1,1,1
24,24,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.7796610169491526,5,images/toothbrush.png,2,1,0.0,0,1,2.250048921291216,1,0,3,0,left,30,1,1,0,0,0.0,0,0,Lost_Novel,0,1,1,1,0,0.0,0,400,400,72300,1.0,0,1,0
25,25,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.711864406779661,6,images/toothbrush.png,2,1,1.0,1,1,0.7739895684040461,1,1,3,0,left,30,1,1,1,0,0.0,0,0,Won_Cached,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
26,26,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.6440677966101694,7,images/toothbrush.png,2,1,1.0,1,1,1.0767415242498932,1,1,3,0,left,30,1,1,1,0,0.0,0,0,Won_Cached,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
27,27,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.6271186440677966,8,images/toothbrush.png,2,1,1.0,0,1,0.4588162836051589,1,1,3,0,left,30,1,1,1,0,0.0,0,0,Won_Cached,0,1,1,1,0,1.0,0,400,400,72300,1.0,0,1,0
28,28,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.5932203389830508,9,images/baby.png,2,0,0.0,1,1,1.082313515698607,0,1,3,0,space,30,0,0,1,1,1.0,2,-1,Lost_Cached,-10,0,0,1,0,1.0,-100,0,-200,72300,0.0,1,0,-1
29,29,5608a73fd7def20012b7389d_thisExp_2024-06-24_11h56.38.318.csv,-0.5423728813559322,10,images/toothbrush.png,2,1,1.0,1,1,1.2277088620025196,1,1,3,0,left,30,1,1,0,0,0.0,0,0,Won_Cached,0,1,1,1,0,0.0,0,400,400,72300,1.0,0,1,0
